"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1119",2005,"105_N",42.48522,-70.610163,42.482777,-70.631797,699.6766,-284,913.023576697189,42.48522,42.48522,80,7.1,3.37,0.0119578308649414
"1120",2006,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117417191122727
"1121",2007,"105_N",41.826992,-69.757503,41.832227,-69.758886,786.37679,-210,885.394533557594,41.826992,41.826992,127,4.99,4.94,0.0178780365124354
"1122",2008,"105_N",42.617291,-69.925824,42.450608,-69.758307,822.05325,-276.43576,943.898125441801,43.957055,42.26965,42.3927119761253,7.71,4.79,0.00951791998409657
"1123",2009,"105_N",42.595274,-70.435826,42.594941,-70.412923,713.36057,-296.22795,932.172250332462,42.77404,42.321678,67.8307907071284,7.27030458157314,3.93231120758332,0.011391897774863
"1124",2010,"105_N",42.267203,-69.957927,42.220166,-69.908471,756.69076,-253.34894,915.563869638293,42.442558,41.346047,80.5461327524301,8.45817267379188,4.67466240031713,0.0193332582919026
"1125",2011,"105_N",42.677321,-70.302349,42.669111,-70.07039,738.50114,-304.79061,952.462133885526,43.47037,42.398018,59.7417832144594,8.55700541302494,4.75035329398446,0.00630748360511525
"1126",2012,"105_N",42.44569,-70.448643,42.433446,-70.370836,714.96068,-278.76893,917.782783032378,43.932688,42.261515,83.7867110530691,8.24702489380818,5.8280259781838,0.0122623657367983
"1127",2013,"105_N",42.798215,-70.260194,42.741066,-70.070867,740.83731,-312.30527,959.490946369723,44.43004,42.15814,94.3582449559131,9.77869717200289,5.0033271139299,0.0179086255226286
"1128",2014,"105_N",42.968391,-70.253357,42.832153,-69.889407,760.92125,-321.36761,975.446540275089,44.088828,42.836387,116.208241523084,NA,NA,0.00815306081631116
"1129",1968,"105_S",40.020804,-71.713627,40.385002,-72.004179,603.95097,-80.7589,653.371283959005,41.5,38.233333,55.0375505879493,3.22908040134401,4.34673378408709,0.39317150855346
"1130",1969,"105_S",40.186148,-71.619371,40.638384,-71.508393,635.21924,-90.7099,697.094345614952,41.8,37.616667,52.038806216158,3.58706948463359,4.01437425224645,0.415359049082885
"1131",1970,"105_S",40.668562,-70.032989,40.656013,-69.826194,760.22986,-79.654546,775.274094870103,41.716667,37.8,64.7160614340333,5.29429953742961,5.02005139843683,0.391974039327638
"1132",1971,"105_S",40.473078,-70.690372,40.669904,-70.411102,711.65727,-82.440221,747.542718254005,42.066667,38.966667,60.6847457979289,3.7371747493501,4.090923307887,0.339095255382981
